,error
0,715.0
1,9.0
2,47.0
3,16.0
4,6.278165221605902
5,1.767319259359257
6,2.274625460090414
7,2.1517189347315817
8,1.6328964492611746
9,2.4637504453946195
10,2.4481531600466093
11,2.399619621326211
12,1.1871224687155084
13,3.21257863094456
14,13.143790849673202
15,2166.617351183723
16,439.3939393939394
17,17.100490196078432
18,2.1948342202298523
19,3.6325321816193172
20,1.7598426591116059
21,2.6695321548361535
22,1.5091634902755562
23,1.5750801026230252
24,4.446325216369176
25,2.4365304297428154
26,1.2190205213425316
27,1.8063635201706263
28,1.4713004321989243
29,1.7662839750295443
30,1.749475744442891
31,5.19543327187633
32,1.0590107686873944
33,3.1418932989046686
34,72.0
35,9.480848556275781
36,8.197645119409614
37,6.804138479904497
38,1.69251270201103
39,2.560199968766856
40,36.94400830133434
41,34.08924148504732
42,37.386334695689285
43,1.2852297561617272
44,19.2674096776378
45,1.3519173268694145
46,2.1431724682217883
47,6.089822145946642
48,2.794652719795355
49,10.918189454301677
50,1.289275210845112
51,2.096342051718876
52,2.370426710074566
53,2.576339270738989
54,2.517188790019264
55,5.488451605115464
56,3.4571467608501103
57,67.67601442517466
58,1.465700911027789
59,367.7190611143271
60,14.850336472181855
61,1.1982346292446655
62,26.37657014947208
63,18.773542779011258
64,2.949805324634326
65,14.18580412028488
66,9.62265877719713
67,9.234234701821768
68,3.4996606984392127
69,5.507913644956969
